id_1,id_2
1076,3147
1076,1606
1891,789
1891,2258
1891,2210
1891,1076
1891,2085
1891,1046
1891,3147
1891,1606
2085,789
2085,2258
2085,2210
2085,1076
2085,1891
2085,1046
2085,3147
2085,1606
1046,789
1046,2258
1046,2210
1046,1076
1046,1891
1046,2085
1046,3147
1046,1606
3147,789
3147,2258
3147,2210
3147,1076
3147,1891
3147,2085
3147,1046
3147,1606
1606,789
1606,2258
1606,2210
1606,1076
1606,1891
1606,2085
1606,1046
1606,3147
2730,2085
2085,2730
2868,2085
2085,2868
2085,1386
2085,486
2085,2200
1386,2085
1386,486
1386,2200
486,2085
486,1386
486,2200
2200,2085
2200,1386
2200,486
2074,2085
2085,2074
338,2865
338,2245
338,1380
338,3128
338,2529
338,2085
338,1505
338,2162
338,175
338,293
338,467
